locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPFNLEKH_00895	gene	732				
HPFNLEKH_00895	CDS	732				hypothetical protein
HPFNLEKH_00896	gene	942	prk_1			
HPFNLEKH_00896	CDS	942	prk_1	2.7.1.19		Phosphoribulokinase
HPFNLEKH_00897	gene	1317	tldD_2			
HPFNLEKH_00897	CDS	1317	tldD_2	3.4.-.-	COG0312	Metalloprotease TldD
HPFNLEKH_00898	gene	591	coaE			
HPFNLEKH_00898	CDS	591	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
HPFNLEKH_00899	gene	399				
HPFNLEKH_00899	CDS	399				hypothetical protein
HPFNLEKH_00900	gene	822				
HPFNLEKH_00900	CDS	822				hypothetical protein
HPFNLEKH_00901	gene	2196				
HPFNLEKH_00901	CDS	2196				hypothetical protein
HPFNLEKH_00902	gene	1008	qorA			
HPFNLEKH_00902	CDS	1008	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
HPFNLEKH_00903	gene	1089	MgdE			
HPFNLEKH_00903	CDS	1089	MgdE	5.1.3.34		Monoglucosyldiacylglycerol epimerase
HPFNLEKH_00904	gene	114				
HPFNLEKH_00904	CDS	114				hypothetical protein
HPFNLEKH_00905	gene	573				
HPFNLEKH_00905	CDS	573				hypothetical protein
HPFNLEKH_00906	gene	168				
HPFNLEKH_00906	CDS	168				hypothetical protein
HPFNLEKH_00907	gene	2418				
HPFNLEKH_00907	CDS	2418				hypothetical protein
HPFNLEKH_00908	gene	237				
HPFNLEKH_00908	CDS	237				hypothetical protein
HPFNLEKH_00909	gene	1206				
HPFNLEKH_00909	CDS	1206				hypothetical protein
HPFNLEKH_00910	gene	921				
HPFNLEKH_00910	CDS	921				Epimerase family protein
HPFNLEKH_00911	gene	183				
HPFNLEKH_00911	CDS	183				hypothetical protein
HPFNLEKH_00912	gene	177				
HPFNLEKH_00912	CDS	177				hypothetical protein
HPFNLEKH_00913	gene	246				
HPFNLEKH_00913	CDS	246				hypothetical protein
HPFNLEKH_00914	gene	423				
HPFNLEKH_00914	CDS	423				hypothetical protein
HPFNLEKH_00915	gene	357	iscA			
HPFNLEKH_00915	CDS	357	iscA		COG0316	Iron-binding protein IscA
HPFNLEKH_00916	gene	1641				
HPFNLEKH_00916	CDS	1641				hypothetical protein
HPFNLEKH_00917	gene	252				
HPFNLEKH_00917	CDS	252				hypothetical protein
HPFNLEKH_00918	gene	246				
HPFNLEKH_00918	CDS	246				hypothetical protein
HPFNLEKH_00919	gene	993	rcsC_6			
HPFNLEKH_00919	CDS	993	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
HPFNLEKH_00920	gene	5454	rcsC_7			
HPFNLEKH_00920	CDS	5454	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
HPFNLEKH_00921	gene	1635	groL1			
HPFNLEKH_00921	CDS	1635	groL1			60 kDa chaperonin 1
HPFNLEKH_00922	gene	312	groS			
HPFNLEKH_00922	CDS	312	groS			10 kDa chaperonin
HPFNLEKH_00923	gene	678	phoP_2			
HPFNLEKH_00923	CDS	678	phoP_2		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
HPFNLEKH_00924	gene	1770	cya_2			
HPFNLEKH_00924	CDS	1770	cya_2		COG2931	Bifunctional hemolysin/adenylate cyclase
HPFNLEKH_00925	gene	312	grxC			
HPFNLEKH_00925	CDS	312	grxC		COG0695	Glutaredoxin 3
HPFNLEKH_00926	gene	678	yhfK_1			
HPFNLEKH_00926	CDS	678	yhfK_1	4.-.-.-	COG0702	putative sugar epimerase YhfK
HPFNLEKH_00927	gene	987				
HPFNLEKH_00927	CDS	987				hypothetical protein
HPFNLEKH_00928	gene	384				
HPFNLEKH_00928	CDS	384				hypothetical protein
HPFNLEKH_00929	gene	1770				
HPFNLEKH_00929	CDS	1770				hypothetical protein
HPFNLEKH_00930	gene	1011				
HPFNLEKH_00930	CDS	1011				hypothetical protein
HPFNLEKH_00931	gene	255				
HPFNLEKH_00931	CDS	255				hypothetical protein
HPFNLEKH_00932	gene	3081	ppc			
HPFNLEKH_00932	CDS	3081	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
HPFNLEKH_00933	gene	234				
HPFNLEKH_00933	CDS	234				hypothetical protein
HPFNLEKH_00934	gene	705				
HPFNLEKH_00934	CDS	705				hypothetical protein
HPFNLEKH_00935	gene	153				
HPFNLEKH_00935	CDS	153				hypothetical protein
HPFNLEKH_00936	gene	504				
HPFNLEKH_00936	CDS	504				hypothetical protein
HPFNLEKH_00937	gene	432				
HPFNLEKH_00937	CDS	432				hypothetical protein
HPFNLEKH_00938	gene	1455				
HPFNLEKH_00938	CDS	1455				hypothetical protein
HPFNLEKH_00939	gene	1200				
HPFNLEKH_00939	CDS	1200				hypothetical protein
HPFNLEKH_00940	gene	579				
HPFNLEKH_00940	CDS	579				hypothetical protein
HPFNLEKH_00941	gene	552				
HPFNLEKH_00941	CDS	552				hypothetical protein
HPFNLEKH_00942	gene	618				
HPFNLEKH_00942	CDS	618				hypothetical protein
HPFNLEKH_00943	gene	819	sseA			
HPFNLEKH_00943	CDS	819	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
HPFNLEKH_00944	gene	912	mnmC			
HPFNLEKH_00944	CDS	912	mnmC	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
HPFNLEKH_00945	gene	1245	rcsC_8			
HPFNLEKH_00945	CDS	1245	rcsC_8	2.7.13.3		Sensor histidine kinase RcsC
HPFNLEKH_00946	gene	1356	glmU			
HPFNLEKH_00946	CDS	1356	glmU		COG1207	Bifunctional protein GlmU
HPFNLEKH_00947	gene	960				
HPFNLEKH_00947	CDS	960				hypothetical protein
HPFNLEKH_00948	gene	1203	mshA_4			
HPFNLEKH_00948	CDS	1203	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HPFNLEKH_00949	gene	2241	btuD_3			
HPFNLEKH_00949	CDS	2241	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HPFNLEKH_00950	gene	1197	mshA_5			
HPFNLEKH_00950	CDS	1197	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HPFNLEKH_00951	gene	231				
HPFNLEKH_00951	CDS	231				hypothetical protein
HPFNLEKH_00952	gene	1278	purD			
HPFNLEKH_00952	CDS	1278	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
HPFNLEKH_00953	gene	1953	sasA_4			
HPFNLEKH_00953	CDS	1953	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
HPFNLEKH_00954	gene	366	folB			
HPFNLEKH_00954	CDS	366	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
HPFNLEKH_00955	gene	435	sufE			
HPFNLEKH_00955	CDS	435	sufE		COG2166	Cysteine desulfuration protein SufE
HPFNLEKH_00956	gene	903				
HPFNLEKH_00956	CDS	903				hypothetical protein
HPFNLEKH_00957	gene	915				
HPFNLEKH_00957	CDS	915				hypothetical protein
HPFNLEKH_00958	gene	105				
HPFNLEKH_00958	CDS	105				hypothetical protein
HPFNLEKH_00959	gene	222				
HPFNLEKH_00959	CDS	222				hypothetical protein
HPFNLEKH_00960	gene	1692	pknD_3			
HPFNLEKH_00960	CDS	1692	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
HPFNLEKH_00961	gene	1518				
HPFNLEKH_00961	CDS	1518				hypothetical protein
HPFNLEKH_00962	gene	702				
HPFNLEKH_00962	CDS	702				hypothetical protein
HPFNLEKH_00963	gene	756				
HPFNLEKH_00963	CDS	756		2.4.1.-		PGL/p-HBAD biosynthesis glycosyltransferase
HPFNLEKH_00964	gene	924	rihA_1			
HPFNLEKH_00964	CDS	924	rihA_1	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
HPFNLEKH_00965	gene	432	tadA			
HPFNLEKH_00965	CDS	432	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
HPFNLEKH_00966	gene	2619	leuS			
HPFNLEKH_00966	CDS	2619	leuS	6.1.1.4		Leucine--tRNA ligase
HPFNLEKH_00967	gene	468				
HPFNLEKH_00967	CDS	468				hypothetical protein
HPFNLEKH_00968	gene	606				
HPFNLEKH_00968	CDS	606				hypothetical protein
HPFNLEKH_00969	gene	831				
HPFNLEKH_00969	CDS	831				hypothetical protein
HPFNLEKH_00970	gene	336				
HPFNLEKH_00970	CDS	336				hypothetical protein
HPFNLEKH_00971	gene	546				
HPFNLEKH_00971	CDS	546				hypothetical protein
HPFNLEKH_00972	gene	390				
HPFNLEKH_00972	CDS	390				hypothetical protein
HPFNLEKH_00973	gene	336				
HPFNLEKH_00973	CDS	336				hypothetical protein
HPFNLEKH_00974	gene	1503	lnt			
HPFNLEKH_00974	CDS	1503	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
HPFNLEKH_00975	gene	2619	gyrA_1			
HPFNLEKH_00975	CDS	2619	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
HPFNLEKH_00976	gene	639	dfa5_1			
HPFNLEKH_00976	CDS	639	dfa5_1	1.-.-.-	COG0426	Putative diflavin flavoprotein A 5
HPFNLEKH_00977	gene	264				
HPFNLEKH_00977	CDS	264				hypothetical protein
HPFNLEKH_00978	gene	783	trmH			
HPFNLEKH_00978	CDS	783	trmH	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
HPFNLEKH_00979	gene	82				
HPFNLEKH_00979	tRNA	82				tRNA-Leu(tag)
HPFNLEKH_00980	gene	1188	alr2			
HPFNLEKH_00980	CDS	1188	alr2	5.1.1.1	COG0787	Alanine racemase 2
HPFNLEKH_00981	gene	498				
HPFNLEKH_00981	CDS	498				hypothetical protein
HPFNLEKH_00982	gene	231				
HPFNLEKH_00982	CDS	231				hypothetical protein
HPFNLEKH_00983	gene	795	tatC			
HPFNLEKH_00983	CDS	795	tatC		COG0805	Sec-independent protein translocase protein TatC
HPFNLEKH_00984	gene	819	lpxA			
HPFNLEKH_00984	CDS	819	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
HPFNLEKH_00985	gene	516	fabZ			
HPFNLEKH_00985	CDS	516	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
HPFNLEKH_00986	gene	843	lpxC			
HPFNLEKH_00986	CDS	843	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
HPFNLEKH_00987	gene	2523	bamA_1			
HPFNLEKH_00987	CDS	2523	bamA_1			Outer membrane protein assembly factor BamA
HPFNLEKH_00988	gene	738	purC			
HPFNLEKH_00988	CDS	738	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
HPFNLEKH_00989	gene	1230				
HPFNLEKH_00989	CDS	1230				hypothetical protein
HPFNLEKH_00990	gene	261				
HPFNLEKH_00990	CDS	261				hypothetical protein
HPFNLEKH_00991	gene	738				
HPFNLEKH_00991	CDS	738				hypothetical protein
HPFNLEKH_00992	gene	3021				
HPFNLEKH_00992	CDS	3021				hypothetical protein
HPFNLEKH_00993	gene	708	rpe			
HPFNLEKH_00993	CDS	708	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
HPFNLEKH_00994	gene	1590				
HPFNLEKH_00994	CDS	1590				hypothetical protein
HPFNLEKH_00995	gene	1329				
HPFNLEKH_00995	CDS	1329				hypothetical protein
HPFNLEKH_00996	gene	498				
HPFNLEKH_00996	CDS	498				hypothetical protein
HPFNLEKH_00997	gene	1191				
HPFNLEKH_00997	CDS	1191				hypothetical protein
HPFNLEKH_00998	gene	2355				
HPFNLEKH_00998	CDS	2355				hypothetical protein
HPFNLEKH_00999	gene	1038				
HPFNLEKH_00999	CDS	1038				hypothetical protein
HPFNLEKH_01000	gene	246				
HPFNLEKH_01000	CDS	246				hypothetical protein
HPFNLEKH_01001	gene	267				
HPFNLEKH_01001	CDS	267				hypothetical protein
HPFNLEKH_01002	gene	213				
HPFNLEKH_01002	CDS	213				hypothetical protein
HPFNLEKH_01003	gene	942				
HPFNLEKH_01003	CDS	942				hypothetical protein
HPFNLEKH_01004	gene	732				
HPFNLEKH_01004	CDS	732				hypothetical protein
HPFNLEKH_01005	gene	867				
HPFNLEKH_01005	CDS	867				hypothetical protein
HPFNLEKH_01006	gene	846				
HPFNLEKH_01006	CDS	846				hypothetical protein
HPFNLEKH_01007	gene	519				
HPFNLEKH_01007	CDS	519				hypothetical protein
HPFNLEKH_01008	gene	642				
HPFNLEKH_01008	CDS	642				hypothetical protein
HPFNLEKH_01009	gene	729	walR_2			
HPFNLEKH_01009	CDS	729	walR_2		COG0745	Transcriptional regulatory protein WalR
HPFNLEKH_01010	gene	222				
HPFNLEKH_01010	CDS	222				hypothetical protein
HPFNLEKH_01011	gene	822				
HPFNLEKH_01011	CDS	822				hypothetical protein
HPFNLEKH_01012	gene	450				
HPFNLEKH_01012	CDS	450				hypothetical protein
HPFNLEKH_01013	gene	615				
HPFNLEKH_01013	CDS	615				hypothetical protein
HPFNLEKH_01014	gene	1587				
HPFNLEKH_01014	CDS	1587		3.4.24.-	COG0612	putative zinc protease
HPFNLEKH_01015	gene	1539				
HPFNLEKH_01015	CDS	1539				hypothetical protein
HPFNLEKH_01016	gene	996				
HPFNLEKH_01016	CDS	996				hypothetical protein
HPFNLEKH_01017	gene	1587				
HPFNLEKH_01017	CDS	1587				hypothetical protein
HPFNLEKH_01018	gene	276				
HPFNLEKH_01018	CDS	276				hypothetical protein
HPFNLEKH_01019	gene	156				
HPFNLEKH_01019	CDS	156				hypothetical protein
HPFNLEKH_01020	gene	471				
HPFNLEKH_01020	CDS	471				hypothetical protein
HPFNLEKH_01021	gene	99				
HPFNLEKH_01021	CDS	99				hypothetical protein
HPFNLEKH_01022	gene	213				
HPFNLEKH_01022	CDS	213				hypothetical protein
HPFNLEKH_01023	gene	921	moaA_2			
HPFNLEKH_01023	CDS	921	moaA_2	4.1.99.22	COG2896	GTP 3',8-cyclase
HPFNLEKH_01024	gene	1056				
HPFNLEKH_01024	CDS	1056				hypothetical protein
HPFNLEKH_01025	gene	1365	sufS			
HPFNLEKH_01025	CDS	1365	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
HPFNLEKH_01026	gene	237				
HPFNLEKH_01026	CDS	237				hypothetical protein
HPFNLEKH_01027	gene	1131	rutC			
HPFNLEKH_01027	CDS	1131	rutC	1.-.-.-		Putative aminoacrylate peracid reductase RutC
HPFNLEKH_01028	gene	432				
HPFNLEKH_01028	CDS	432				hypothetical protein
HPFNLEKH_01029	gene	1095	kaiC			
HPFNLEKH_01029	CDS	1095	kaiC	2.7.11.1	COG0467	Circadian clock protein kinase KaiC
HPFNLEKH_01030	gene	2229				
HPFNLEKH_01030	CDS	2229				hypothetical protein
HPFNLEKH_01031	gene	378				
HPFNLEKH_01031	CDS	378				hypothetical protein
HPFNLEKH_01032	gene	507				
HPFNLEKH_01032	CDS	507				hypothetical protein
HPFNLEKH_01033	gene	780				
HPFNLEKH_01033	CDS	780				hypothetical protein
HPFNLEKH_01034	gene	777				
HPFNLEKH_01034	CDS	777				hypothetical protein
HPFNLEKH_01035	gene	921	nadK_2			
HPFNLEKH_01035	CDS	921	nadK_2	2.7.1.23	COG0061	NAD kinase
HPFNLEKH_01036	gene	306	nuoK			
HPFNLEKH_01036	CDS	306	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
HPFNLEKH_01037	gene	609				
HPFNLEKH_01037	CDS	609				hypothetical protein
HPFNLEKH_01038	gene	585	ndhI			
HPFNLEKH_01038	CDS	585	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I
HPFNLEKH_01039	gene	1119	ndhA			
HPFNLEKH_01039	CDS	1119	ndhA	7.1.1.-	COG1005	NAD(P)H-quinone oxidoreductase subunit 1
HPFNLEKH_01040	gene	1137	gltA			
HPFNLEKH_01040	CDS	1137	gltA	2.3.3.16	COG0372	Citrate synthase
HPFNLEKH_01041	gene	495				
HPFNLEKH_01041	CDS	495				hypothetical protein
HPFNLEKH_01042	gene	222				
HPFNLEKH_01042	CDS	222				hypothetical protein
HPFNLEKH_01043	gene	741				
HPFNLEKH_01043	CDS	741				hypothetical protein
HPFNLEKH_01044	gene	2607				
HPFNLEKH_01044	CDS	2607				hypothetical protein
HPFNLEKH_01045	gene	204				
HPFNLEKH_01045	CDS	204				hypothetical protein
HPFNLEKH_01046	gene	462				
HPFNLEKH_01046	CDS	462				hypothetical protein
HPFNLEKH_01047	gene	945				
HPFNLEKH_01047	CDS	945				hypothetical protein
HPFNLEKH_01048	gene	699	kdpD_1			
HPFNLEKH_01048	CDS	699	kdpD_1	2.7.13.3	COG2205	Sensor protein KdpD
HPFNLEKH_01049	gene	495				
HPFNLEKH_01049	CDS	495				hypothetical protein
HPFNLEKH_01050	gene	1572	ltxD_1			
HPFNLEKH_01050	CDS	1572	ltxD_1			Leukotoxin export protein LtxD
HPFNLEKH_01051	gene	3012	btuD_4			
HPFNLEKH_01051	CDS	3012	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HPFNLEKH_01052	gene	1380				
HPFNLEKH_01052	CDS	1380				hypothetical protein
HPFNLEKH_01053	gene	1530	zwf2			
HPFNLEKH_01053	CDS	1530	zwf2	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 2
HPFNLEKH_01054	gene	1146	tal_1			
HPFNLEKH_01054	CDS	1146	tal_1	2.2.1.2	COG0176	Transaldolase
HPFNLEKH_01055	gene	1050	fbp			
HPFNLEKH_01055	CDS	1050	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
HPFNLEKH_01056	gene	1368	steT			
HPFNLEKH_01056	CDS	1368	steT		COG0531	Serine/threonine exchanger SteT
HPFNLEKH_01057	gene	660				
HPFNLEKH_01057	CDS	660				hypothetical protein
HPFNLEKH_01058	gene	1407				
HPFNLEKH_01058	CDS	1407				hypothetical protein
HPFNLEKH_01059	gene	774	panB			
HPFNLEKH_01059	CDS	774	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
HPFNLEKH_01060	gene	1161				
HPFNLEKH_01060	CDS	1161				hypothetical protein
HPFNLEKH_01061	gene	1176				
HPFNLEKH_01061	CDS	1176				hypothetical protein
HPFNLEKH_01062	gene	1164				
HPFNLEKH_01062	CDS	1164				hypothetical protein
HPFNLEKH_01063	gene	468				
HPFNLEKH_01063	CDS	468				hypothetical protein
HPFNLEKH_01064	gene	99				
HPFNLEKH_01064	CDS	99				hypothetical protein
HPFNLEKH_01065	gene	2322				
HPFNLEKH_01065	CDS	2322		1.13.11.61		Linolenate 9R-lipoxygenase
HPFNLEKH_01066	gene	624				
HPFNLEKH_01066	CDS	624				hypothetical protein
HPFNLEKH_01067	gene	960				
HPFNLEKH_01067	CDS	960				hypothetical protein
HPFNLEKH_01068	gene	5886				
HPFNLEKH_01068	CDS	5886				hypothetical protein
HPFNLEKH_01069	gene	939				
HPFNLEKH_01069	CDS	939				hypothetical protein
HPFNLEKH_01070	gene	582				
HPFNLEKH_01070	CDS	582				hypothetical protein
HPFNLEKH_01071	gene	1017	prs			
HPFNLEKH_01071	CDS	1017	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
HPFNLEKH_01072	gene	1452				
HPFNLEKH_01072	CDS	1452				hypothetical protein
HPFNLEKH_01073	gene	558				
HPFNLEKH_01073	CDS	558				hypothetical protein
HPFNLEKH_01074	gene	1452	hoxH			
HPFNLEKH_01074	CDS	1452	hoxH	1.12.1.2		NAD-reducing hydrogenase HoxS subunit beta
HPFNLEKH_01075	gene	615				
HPFNLEKH_01075	CDS	615				hypothetical protein
HPFNLEKH_01076	gene	546	hoxY			
HPFNLEKH_01076	CDS	546	hoxY	1.12.1.2		NAD-reducing hydrogenase HoxS subunit delta
HPFNLEKH_01077	gene	591				
HPFNLEKH_01077	CDS	591				hypothetical protein
HPFNLEKH_01078	gene	717	hoxU			
HPFNLEKH_01078	CDS	717	hoxU	1.12.1.2		NAD-reducing hydrogenase HoxS subunit gamma
HPFNLEKH_01079	gene	468				
HPFNLEKH_01079	CDS	468				hypothetical protein
HPFNLEKH_01080	gene	2229	tolB_5			
HPFNLEKH_01080	CDS	2229	tolB_5			Tol-Pal system protein TolB
HPFNLEKH_01081	gene	114				
HPFNLEKH_01081	CDS	114				hypothetical protein
HPFNLEKH_01082	gene	1074	murG			
HPFNLEKH_01082	CDS	1074	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
HPFNLEKH_01083	gene	825				
HPFNLEKH_01083	CDS	825				hypothetical protein
HPFNLEKH_01084	gene	774	ydfG			
HPFNLEKH_01084	CDS	774	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
HPFNLEKH_01085	gene	645				
HPFNLEKH_01085	CDS	645				hypothetical protein
HPFNLEKH_01086	gene	1008	btuD_5			
HPFNLEKH_01086	CDS	1008	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HPFNLEKH_01087	gene	630	hisB			
HPFNLEKH_01087	CDS	630	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
HPFNLEKH_01088	gene	777	fabI			
HPFNLEKH_01088	CDS	777	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
HPFNLEKH_01089	gene	1221				
HPFNLEKH_01089	CDS	1221			COG4398	putative protein
HPFNLEKH_01090	gene	1116	cpdA_1			
HPFNLEKH_01090	CDS	1116	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
HPFNLEKH_01091	gene	924	rbsK			
HPFNLEKH_01091	CDS	924	rbsK	2.7.1.15	COG0524	Ribokinase
HPFNLEKH_01092	gene	606				
HPFNLEKH_01092	CDS	606				hypothetical protein
HPFNLEKH_01093	gene	1848				
HPFNLEKH_01093	CDS	1848				hypothetical protein
HPFNLEKH_01094	gene	393				
HPFNLEKH_01094	CDS	393				hypothetical protein
HPFNLEKH_01095	gene	738	cobK			
HPFNLEKH_01095	CDS	738	cobK	1.3.1.54		Precorrin-6A reductase
HPFNLEKH_01096	gene	528	cphA_2			
HPFNLEKH_01096	CDS	528	cphA_2	6.3.2.29	COG0769	Cyanophycin synthetase
HPFNLEKH_01097	gene	1317	trmFO			
HPFNLEKH_01097	CDS	1317	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
HPFNLEKH_01098	gene	807	pstB_1			
HPFNLEKH_01098	CDS	807	pstB_1	7.3.2.1		Phosphate import ATP-binding protein PstB
HPFNLEKH_01099	gene	882	pstA_1			
HPFNLEKH_01099	CDS	882	pstA_1		COG0581	Phosphate transport system permease protein PstA
HPFNLEKH_01100	gene	951	pstC			
HPFNLEKH_01100	CDS	951	pstC		COG0573	Phosphate transport system permease protein PstC
HPFNLEKH_01101	gene	1179				
HPFNLEKH_01101	CDS	1179				hypothetical protein
HPFNLEKH_01102	gene	987				
HPFNLEKH_01102	CDS	987				hypothetical protein
HPFNLEKH_01103	gene	957				
HPFNLEKH_01103	CDS	957				hypothetical protein
HPFNLEKH_01104	gene	1593				
HPFNLEKH_01104	CDS	1593				hypothetical protein
HPFNLEKH_01105	gene	876	dehH1			
HPFNLEKH_01105	CDS	876	dehH1	3.8.1.3		Haloacetate dehalogenase H-1
HPFNLEKH_01106	gene	1071	rffG			
HPFNLEKH_01106	CDS	1071	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
HPFNLEKH_01107	gene	264				
HPFNLEKH_01107	CDS	264				hypothetical protein
HPFNLEKH_01108	gene	1794	ggt			
HPFNLEKH_01108	CDS	1794	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
HPFNLEKH_01109	gene	1638				
HPFNLEKH_01109	CDS	1638				hypothetical protein
HPFNLEKH_01110	gene	465	rcsC_9			
HPFNLEKH_01110	CDS	465	rcsC_9	2.7.13.3		Sensor histidine kinase RcsC
HPFNLEKH_01111	gene	849	dapF			
HPFNLEKH_01111	CDS	849	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
HPFNLEKH_01112	gene	873	cysQ			
HPFNLEKH_01112	CDS	873	cysQ	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
HPFNLEKH_01113	gene	861	yihV			
HPFNLEKH_01113	CDS	861	yihV	2.7.1.184		Sulfofructose kinase
HPFNLEKH_01114	gene	858	rsmI			
HPFNLEKH_01114	CDS	858	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
HPFNLEKH_01115	gene	690				
HPFNLEKH_01115	CDS	690				hypothetical protein
HPFNLEKH_01116	gene	201				
HPFNLEKH_01116	CDS	201				hypothetical protein
HPFNLEKH_01117	gene	1392	mnmE			
HPFNLEKH_01117	CDS	1392	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
HPFNLEKH_01118	gene	381				
HPFNLEKH_01118	CDS	381				hypothetical protein
HPFNLEKH_01119	gene	699	yfcG_2			
HPFNLEKH_01119	CDS	699	yfcG_2	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
HPFNLEKH_01120	gene	492				
HPFNLEKH_01120	CDS	492				Orange carotenoid-binding protein
HPFNLEKH_01121	gene	513				
HPFNLEKH_01121	CDS	513				Putative universal stress protein
HPFNLEKH_01122	gene	3282	rcsC_10			
HPFNLEKH_01122	CDS	3282	rcsC_10	2.7.13.3		Sensor histidine kinase RcsC
HPFNLEKH_01123	gene	744	sqr			
HPFNLEKH_01123	CDS	744	sqr	1.8.5.4	COG0446	Sulfide-quinone reductase
HPFNLEKH_01124	gene	534				
HPFNLEKH_01124	CDS	534				hypothetical protein
HPFNLEKH_01125	gene	333				
HPFNLEKH_01125	CDS	333				hypothetical protein
HPFNLEKH_01126	gene	1770	ubiB_3			
HPFNLEKH_01126	CDS	1770	ubiB_3	2.7.-.-	COG0661	putative protein kinase UbiB
HPFNLEKH_01127	gene	723	prpC_1			
HPFNLEKH_01127	CDS	723	prpC_1	3.1.3.16	COG0631	Protein phosphatase PrpC
HPFNLEKH_01128	gene	198				
HPFNLEKH_01128	CDS	198				hypothetical protein
HPFNLEKH_01129	gene	1437				
HPFNLEKH_01129	CDS	1437				hypothetical protein
HPFNLEKH_01130	gene	3384				
HPFNLEKH_01130	CDS	3384				hypothetical protein
HPFNLEKH_01131	gene	291				
HPFNLEKH_01131	CDS	291				hypothetical protein
HPFNLEKH_01132	gene	246				
HPFNLEKH_01132	CDS	246				hypothetical protein
HPFNLEKH_01133	gene	1812	lepA			
HPFNLEKH_01133	CDS	1812	lepA	3.6.5.-		Elongation factor 4
HPFNLEKH_01134	gene	2892				
HPFNLEKH_01134	CDS	2892				hypothetical protein
HPFNLEKH_01135	gene	141				
HPFNLEKH_01135	CDS	141				hypothetical protein
HPFNLEKH_01136	gene	588				
HPFNLEKH_01136	CDS	588				hypothetical protein
HPFNLEKH_01137	gene	384				
HPFNLEKH_01137	CDS	384				hypothetical protein
HPFNLEKH_01138	gene	558				
HPFNLEKH_01138	CDS	558				hypothetical protein
HPFNLEKH_01139	gene	990	yqeN			
HPFNLEKH_01139	CDS	990	yqeN		COG1466	putative protein YqeN
HPFNLEKH_01140	gene	1815	menF_1			
HPFNLEKH_01140	CDS	1815	menF_1	5.4.4.2		Isochorismate synthase MenF
HPFNLEKH_01141	gene	492				
HPFNLEKH_01141	CDS	492				hypothetical protein
